,Player,Games Played,Goals,Assists,Minutes per Goal,Total Minutes Played,Current Market Value,Market Value at Purchase,Age_x,Height_x,Overall,Potential,International Reputation,Weak Foot,Skill Moves,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,StandingTackle,SlidingTackle,Best Overall Rating,DefensiveAwareness
174,Patrick Bamford,8.0,2.0,3.0,285.0,570.0,22000000.0,4400000.0,28.0,1.85,78.0,78.0,2.0,3.0,3.0,59.0,82.0,75.0,72.0,69.0,70.0,68.0,59.0,63.0,78.0,71.0,75.0,69.0,80.0,66.0,80.0,68.0,91.0,76.0,69.0,62.0,47.0,83.0,71.0,74.0,74.0,27.0,20.0,78.0,50.0
175,Bertrand Traoré,7.0,0.0,0.0,0.0,214.0,22000000.0,10450000.0,26.0,1.81,77.0,78.0,2.0,1.0,4.0,73.0,75.0,66.0,74.0,72.0,82.0,79.0,73.0,68.0,86.0,77.0,79.0,88.0,69.0,59.0,73.0,75.0,69.0,65.0,68.0,60.0,54.0,73.0,74.0,69.0,74.0,40.0,37.0,78.0,40.0
178,Callum Wilson,15.0,6.0,0.0,198.0,1187.0,22000000.0,22000000.0,29.0,1.8,79.0,79.0,2.0,3.0,4.0,61.0,82.0,78.0,72.0,71.0,78.0,63.0,45.0,62.0,79.0,77.0,83.0,75.0,79.0,72.0,77.0,70.0,76.0,79.0,68.0,74.0,40.0,83.0,70.0,83.0,79.0,40.0,27.0,79.0,36.0
179,Erik Lamela,16.0,4.0,2.0,180.0,718.0,22000000.0,17600000.0,29.0,1.84,78.0,78.0,2.0,2.0,4.0,77.0,74.0,60.0,80.0,75.0,83.0,84.0,81.0,75.0,82.0,74.0,67.0,77.0,79.0,75.0,81.0,56.0,61.0,64.0,80.0,90.0,53.0,79.0,78.0,75.0,75.0,50.0,54.0,79.0,52.0
180,Thorgan Hazard,19.0,5.0,1.0,174.0,871.0,22000000.0,41800000.0,28.0,1.75,82.0,82.0,2.0,4.0,4.0,81.0,74.0,42.0,82.0,77.0,85.0,82.0,81.0,72.0,84.0,84.0,76.0,91.0,81.0,88.0,77.0,60.0,78.0,65.0,76.0,57.0,63.0,80.0,82.0,79.0,78.0,47.0,49.0,82.0,58.0
181,Alexandre Lacazette,20.0,5.0,4.0,222.0,1108.0,22000000.0,44000000.0,30.0,1.76,82.0,82.0,3.0,4.0,4.0,68.0,83.0,75.0,79.0,79.0,83.0,74.0,74.0,70.0,82.0,77.0,73.0,81.0,82.0,82.0,87.0,76.0,66.0,75.0,78.0,73.0,42.0,82.0,75.0,79.0,80.0,45.0,32.0,82.0,39.0
182,Julian Draxler,14.0,2.0,2.0,299.0,598.0,22000000.0,30800000.0,28.0,1.85,80.0,80.0,3.0,5.0,4.0,79.0,74.0,64.0,81.0,77.0,83.0,77.0,76.0,77.0,84.0,76.0,73.0,80.0,78.0,74.0,80.0,77.0,68.0,67.0,78.0,56.0,66.0,78.0,81.0,65.0,82.0,64.0,44.0,80.0,48.0
184,Mikkel Damsgaard,8.0,0.0,0.0,0.0,552.0,19800000.0,7150000.0,21.0,1.8,77.0,87.0,2.0,3.0,4.0,63.0,71.0,51.0,74.0,48.0,83.0,66.0,82.0,70.0,80.0,90.0,81.0,91.0,70.0,86.0,71.0,72.0,74.0,57.0,72.0,64.0,45.0,74.0,77.0,47.0,74.0,46.0,40.0,79.0,52.0
185,Amad Diallo,3.0,2.0,1.0,124.0,248.0,19800000.0,16500000.0,19.0,1.73,78.0,82.0,2.0,3.0,3.0,69.0,38.0,78.0,78.0,39.0,75.0,58.0,32.0,76.0,78.0,72.0,76.0,73.0,77.0,71.0,51.0,84.0,74.0,77.0,24.0,77.0,78.0,61.0,69.0,41.0,81.0,78.0,81.0,80.0,77.0
187,Noni Madueke,18.0,6.0,1.0,171.0,1025.0,19800000.0,5500000.0,19.0,1.82,77.0,88.0,1.0,4.0,4.0,65.0,72.0,42.0,71.0,67.0,86.0,75.0,63.0,64.0,82.0,92.0,89.0,84.0,74.0,79.0,73.0,76.0,64.0,64.0,72.0,53.0,31.0,67.0,69.0,61.0,72.0,32.0,37.0,78.0,42.0
188,Manor Solomon,26.0,4.0,2.0,368.0,1470.0,19800000.0,1650000.0,22.0,1.7,76.0,86.0,1.0,4.0,3.0,73.0,72.0,38.0,72.0,46.0,81.0,75.0,72.0,68.0,74.0,82.0,80.0,84.0,64.0,82.0,75.0,55.0,75.0,64.0,71.0,30.0,21.0,74.0,73.0,52.0,78.0,47.0,35.0,77.0,39.0
189,Cengiz Ünder,21.0,7.0,1.0,232.0,1627.0,19800000.0,19800000.0,24.0,1.73,77.0,79.0,1.0,4.0,3.0,81.0,70.0,58.0,72.0,69.0,82.0,80.0,68.0,65.0,81.0,84.0,78.0,84.0,71.0,82.0,83.0,47.0,67.0,50.0,80.0,37.0,29.0,75.0,74.0,72.0,68.0,33.0,30.0,78.0,43.0
190,Umar Sadiq,21.0,9.0,7.0,188.0,1694.0,19800000.0,6600000.0,24.0,1.92,75.0,81.0,1.0,3.0,3.0,49.0,80.0,73.0,68.0,65.0,74.0,61.0,41.0,45.0,75.0,80.0,85.0,65.0,68.0,45.0,79.0,79.0,69.0,87.0,63.0,42.0,19.0,71.0,59.0,71.0,64.0,20.0,19.0,77.0,37.0
192,Daniel James,20.0,2.0,2.0,747.0,1493.0,19800000.0,19800000.0,24.0,1.7,77.0,82.0,1.0,4.0,3.0,75.0,72.0,44.0,74.0,58.0,73.0,74.0,54.0,58.0,76.0,96.0,95.0,85.0,75.0,83.0,79.0,53.0,83.0,52.0,69.0,70.0,42.0,73.0,68.0,64.0,69.0,45.0,34.0,78.0,54.0
193,Lukas Nmecha,21.0,8.0,0.0,166.0,1331.0,19800000.0,13200000.0,23.0,1.85,74.0,81.0,1.0,4.0,3.0,58.0,73.0,63.0,71.0,66.0,76.0,58.0,48.0,58.0,78.0,78.0,86.0,72.0,73.0,63.0,76.0,79.0,80.0,79.0,68.0,71.0,36.0,72.0,68.0,81.0,71.0,33.0,27.0,76.0,43.0
